id,title,artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6SpPr7K4YQ2wp8jU6uOTmQ,Queendom,Red Velvet,0.695,0.896,5,-1.24,1,0.179,0.0,0.0626,0.508,119.959,181760,4
186NCtNk1tUYS7c2DxgJ7O,Christmas Tree,V,0.437,0.384,5,-8.384,1,0.699,2.33e-05,0.121,0.181,139.009,209947,4
4gdiCHNbwugojBqr5Jt3pq,WA DA DA,Kep1er,0.785,0.907,10,-2.657,1,0.00122,3.11e-06,0.213,0.685,126.004,183693,4
37ZtpRBkHcaq6hHy0X98zn,I CAN'T STOP ME,TWICE,0.657,0.88,10,-3.672,0,0.121,0.0,0.463,0.769,150.084,205493,4
3kwr2hlIDwmwVAjKC7zshR,Ven para,Weeekly,0.73,0.819,1,-2.845,1,0.00226,3.52e-05,0.0586,0.287,99.996,194693,4
14k4ALBLN2FjtELYDcQUoi,MOONLIGHT,TWICE,0.807,0.704,5,-5.496,0,0.0245,0.0,0.0535,0.961,115.995,219387,4
5IWlLl3xT95o8TSv3O8tRH,Rain Song (Feat. Colde),Colde,0.677,0.576,6,-5.43,1,0.631,0.0,0.125,0.562,87.934,243785,4
4AHNi316rl3KI3hKIsdxZe,Restless,BIBI,0.575,0.607,5,-6.897,1,0.382,0.000112,0.115,0.298,89.985,267080,4
0Q5VnK2DYzRyfqQRJuUtvi,LOVE DIVE,IVE,0.703,0.709,1,-4.169,0,0.00379,5.43e-05,0.333,0.538,117.941,177187,4
0LMdtBOxbVgrYoA4n0Vwvv,ROYAL,IVE,0.796,0.85,1,-2.987,1,0.0905,3.39e-06,0.205,0.47,109.922,206227,4
2JaVEjpz0CVmO7lKP4MqL4,Rum Pum Pum,Lee Jin Ah,0.255,0.702,6,-5.308,0,0.422,0.00146,0.343,0.328,174.65,306627,3
0JL7DoEqAUcOntWmBuOSdh,For You,Crush,0.588,0.452,7,-7.778,1,0.724,0.0,0.107,0.267,83.936,205120,4
